model,RMSE,R2
"LinearRegressionModel: uid=LinearRegression_e636edf94d7e, numFeatures=87",0.009737228580546839,0.9999999999996944
"GBTRegressionModel: uid=GBTRegressor_28c91b6005f6, numTrees=20, numFeatures=87",11004.026788553107,0.6095892615385172
