model,F1_Score,Accuracy
"LogisticRegressionModel: uid=LogisticRegression_f96ccf921211, numClasses=5, numFeatures=87",0.8717594070631641,0.9114721682003605
"RandomForestClassificationModel: uid=RandomForestClassifier_98dad5c0d493, numTrees=10, numClasses=5, numFeatures=87",0.8785160419437835,0.9151883123043355
