2016,Winter,19365
2016,Spring,15651
2016,Summer,42712
2016,Fall,50640
2017,Winter,45861
2017,Spring,47598
2017,Summer,40566
2017,Fall,34709
2018,Winter,47702
2018,Spring,34923
2018,Summer,33223
2018,Fall,49081
2019,Winter,74860
2019,Spring,44330
2019,Summer,44853
2019,Fall,93242
2020,Winter,208899
2020,Spring,166431
2020,Summer,65027
2020,Fall,249544
2021,Winter,367101
2021,Spring,166653
2021,Summer,252383
2021,Fall,301029
2022,Winter,410905
2022,Spring,399412
2022,Summer,333012
2022,Fall,338422
2023,Winter,210758
2023,Spring,29146
